JUnit version 4.12
.Test started at Fri Oct 28 03:48:18 UTC 2016
Insertions: 17,179,869,184 (approx: 131,072 GiB)
Thread count: 1
Maximum FPSet table count is: 34,359,738,368 (approx: 262,144 GiB)
FPSet lock count is: 256
FPSet bucket count is: 2147483639
Testing tlc2.tool.fp.MSBDiskFPSet
1477626565149 s; 112,222,505 insertions/min; 0 load factor
1477626625150 s; 121,907,416 insertions/min; 0.01 load factor
1477626745150 s; 499,520,312 insertions/min; 0.01 load factor
1477626805150 s; 132,133,653 insertions/min; 0.02 load factor
1477626925150 s; 525,390,668 insertions/min; 0.03 load factor
1477627045149 s; 529,418,534 insertions/min; 0.03 load factor
1477627105149 s; 132,460,286 insertions/min; 0.04 load factor
1477627165149 s; 130,012,747 insertions/min; 0.04 load factor
1477627225149 s; 129,535,359 insertions/min; 0.04 load factor
1477627285149 s; 129,011,502 insertions/min; 0.05 load factor
1477627345150 s; 129,041,745 insertions/min; 0.05 load factor
1477627465150 s; 523,475,166 insertions/min; 0.06 load factor
1477627585150 s; 518,475,122 insertions/min; 0.07 load factor
1477627705150 s; 479,420,994 insertions/min; 0.07 load factor
1477627765150 s; 126,298,573 insertions/min; 0.08 load factor
1477627885149 s; 508,072,698 insertions/min; 0.09 load factor
1477627945149 s; 127,360,158 insertions/min; 0.09 load factor
1477628005149 s; 127,621,818 insertions/min; 0.09 load factor
1477628065150 s; 127,297,252 insertions/min; 0.1 load factor
1477628185150 s; 507,862,211 insertions/min; 0.1 load factor
1477628245149 s; 124,597,207 insertions/min; 0.11 load factor
1477628305149 s; 112,019,505 insertions/min; 0.11 load factor
1477628365149 s; 113,115,562 insertions/min; 0.11 load factor
1477628425150 s; 121,548,325 insertions/min; 0.12 load factor
1477628545149 s; 478,142,251 insertions/min; 0.12 load factor
1477628605149 s; 121,732,832 insertions/min; 0.13 load factor
1477628665149 s; 121,704,834 insertions/min; 0.13 load factor
1477628725150 s; 121,145,621 insertions/min; 0.14 load factor
1477628845149 s; 495,458,161 insertions/min; 0.14 load factor
1477628905149 s; 122,335,924 insertions/min; 0.15 load factor
