JUnit version 4.12
.Test started at Thu Oct 20 14:59:34 UTC 2016
Insertions: 8,589,934,592 (approx: 65,536 GiB)
Thread count: 128
Maximum FPSet table count is: 17,179,869,184 (approx: 131,072 GiB)
FPSet lock count is: 32768
FPSet bucket count is: 1073741824
Testing tlc2.tool.fp.MSBDiskFPSet
1476975637687 s; 466,422,939 insertions/min; 0.03 load factor
1476975727872 s; 823,940,674 insertions/min; 0.06 load factor
1476975817680 s; 1,802,903,292 insertions/min; 0.13 load factor
1476975937667 s; 4,053,436,046 insertions/min; 0.25 load factor
1476975997680 s; 1,042,005,592 insertions/min; 0.31 load factor
1476976117666 s; 4,174,330,373 insertions/min; 0.43 load factor
1476976177667 s; 1,034,563,242 insertions/min; 0.49 load factor
Producer: 0, puts: 67132680, puts/collisions: none
Producer: 1, puts: 67108864, puts/collisions: none
Producer: 2, puts: 67367546, puts/collisions: none
Producer: 3, puts: 67108864, puts/collisions: none
Producer: 4, puts: 67108864, puts/collisions: none
Producer: 5, puts: 67108864, puts/collisions: none
Producer: 6, puts: 67108864, puts/collisions: none
Producer: 7, puts: 67401361, puts/collisions: none
Producer: 8, puts: 67108864, puts/collisions: none
Producer: 9, puts: 67359623, puts/collisions: none
Producer: 10, puts: 67108864, puts/collisions: none
Producer: 11, puts: 67409650, puts/collisions: none
Producer: 12, puts: 67148654, puts/collisions: none
Producer: 13, puts: 67108864, puts/collisions: none
Producer: 14, puts: 67966558, puts/collisions: none
Producer: 15, puts: 67336875, puts/collisions: none
Producer: 16, puts: 67195705, puts/collisions: none
Producer: 17, puts: 69574729, puts/collisions: none
Producer: 18, puts: 67108864, puts/collisions: none
Producer: 19, puts: 70244374, puts/collisions: none
Producer: 20, puts: 67238474, puts/collisions: none
Producer: 21, puts: 67653513, puts/collisions: none
Producer: 22, puts: 67108864, puts/collisions: none
Producer: 23, puts: 67186343, puts/collisions: none
Producer: 24, puts: 67129660, puts/collisions: none
Producer: 25, puts: 67108864, puts/collisions: none
Producer: 26, puts: 67108864, puts/collisions: none
Producer: 27, puts: 67108864, puts/collisions: none
Producer: 28, puts: 67347344, puts/collisions: none
Producer: 29, puts: 69686010, puts/collisions: none
Producer: 30, puts: 68162222, puts/collisions: none
Producer: 31, puts: 67108864, puts/collisions: none
Producer: 32, puts: 67346802, puts/collisions: none
Producer: 33, puts: 67108864, puts/collisions: none
Producer: 34, puts: 67405938, puts/collisions: none
Producer: 35, puts: 67108864, puts/collisions: none
Producer: 36, puts: 67108864, puts/collisions: none
Producer: 37, puts: 67204856, puts/collisions: none
