JUnit version 4.12
.Test started at Thu Oct 20 01:13:35 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 128
Maximum FPSet table count is: 68,719,476,736 (approx: 524,288 GiB)
FPSet lock count is: 0
FPSet bucket count is: 68719476736
Testing tlc2.tool.fp.OffHeapDiskFPSet
1476926083825 s; 12,116,190,602 insertions/min; 0.18 load factor
1476926143824 s; 14,086,224,735 insertions/min; 0.38 load factor
Producer: 0, puts: 268654127, puts/collisions: none
Producer: 1, puts: 268780520, puts/collisions: none
Producer: 2, puts: 268435456, puts/collisions: none
Producer: 3, puts: 268924325, puts/collisions: none
Producer: 4, puts: 268435456, puts/collisions: none
Producer: 5, puts: 269214326, puts/collisions: none
Producer: 6, puts: 269417976, puts/collisions: none
Producer: 7, puts: 268841030, puts/collisions: none
Producer: 8, puts: 268435456, puts/collisions: none
Producer: 9, puts: 268748757, puts/collisions: none
Producer: 10, puts: 268787535, puts/collisions: none
Producer: 11, puts: 268603784, puts/collisions: none
Producer: 12, puts: 268557249, puts/collisions: none
Producer: 13, puts: 268435456, puts/collisions: none
Producer: 14, puts: 269190158, puts/collisions: none
Producer: 15, puts: 268920417, puts/collisions: none
Producer: 16, puts: 269151208, puts/collisions: none
Producer: 17, puts: 268935411, puts/collisions: none
Producer: 18, puts: 268742332, puts/collisions: none
Producer: 19, puts: 268873164, puts/collisions: none
Producer: 20, puts: 268605815, puts/collisions: none
Producer: 21, puts: 268536445, puts/collisions: none
Producer: 22, puts: 268685284, puts/collisions: none
Producer: 23, puts: 268598868, puts/collisions: none
Producer: 24, puts: 269011813, puts/collisions: none
Producer: 25, puts: 268435456, puts/collisions: none
Producer: 26, puts: 268696738, puts/collisions: none
Producer: 27, puts: 268652723, puts/collisions: none
Producer: 28, puts: 268769354, puts/collisions: none
Producer: 29, puts: 269130459, puts/collisions: none
Producer: 30, puts: 268487169, puts/collisions: none
Producer: 31, puts: 269043459, puts/collisions: none
Producer: 32, puts: 268634807, puts/collisions: none
Producer: 33, puts: 268621110, puts/collisions: none
Producer: 34, puts: 268484391, puts/collisions: none
Producer: 35, puts: 268791118, puts/collisions: none
Producer: 36, puts: 268520088, puts/collisions: none
Producer: 37, puts: 268907807, puts/collisions: none
Producer: 38, puts: 268758760, puts/collisions: none
Producer: 39, puts: 269006436, puts/collisions: none
Producer: 40, puts: 269178461, puts/collisions: none
Producer: 41, puts: 268565401, puts/collisions: none
Producer: 42, puts: 268777285, puts/collisions: none
Producer: 43, puts: 268435456, puts/collisions: none
Producer: 44, puts: 268676957, puts/collisions: none
Producer: 45, puts: 268435456, puts/collisions: none
Producer: 46, puts: 268512400, puts/collisions: none
Producer: 47, puts: 268435456, puts/collisions: none
Producer: 48, puts: 268947643, puts/collisions: none
Producer: 49, puts: 269123908, puts/collisions: none
Producer: 50, puts: 268981272, puts/collisions: none
